target_angle_deg,material,material_id,predicted_pitch_nm,physics_pitch_nm,error_nm,error_percent,chromatic_spread_deg,angle_blue_deg,angle_green_deg,angle_red_deg
-50.0,N-BK7,0,486.16,477.65,8.5,1.78,-19.936,37.361,48.756,57.297
-45.0,N-BK7,0,523.85,517.47,6.38,1.23,-17.071,34.276,44.252,51.347
-40.0,N-BK7,0,578.04,569.25,8.79,1.54,-14.361,30.689,39.227,45.05
-35.0,N-BK7,0,647.0,637.93,9.07,1.42,-12.091,27.128,34.401,39.219
-30.0,N-BK7,0,753.5,731.81,21.69,2.96,-9.833,23.05,29.021,32.883
-25.0,N-BK7,0,890.14,865.8,24.33,2.81,-8.005,19.356,24.247,27.36
-20.0,N-BK7,0,1116.82,1069.83,46.98,4.39,-6.171,15.317,19.106,21.488
-15.0,N-BK7,0,1475.77,1413.75,62.02,4.39,-4.562,11.532,14.341,16.094
-10.0,N-BK7,0,1977.21,2000.0,-22.79,1.14,-3.36,8.581,10.654,11.941
-5.0,N-BK7,0,1979.74,2000.0,-20.26,1.01,-3.355,8.57,10.64,11.926
0.0,N-BK7,0,1983.6,2000.0,-16.4,0.82,-3.349,8.553,10.619,11.902
5.0,N-BK7,0,1981.36,2000.0,-18.64,0.93,-3.353,8.563,10.632,11.916
10.0,N-BK7,0,1928.43,2000.0,-71.57,3.58,-3.448,8.8,10.927,12.248
15.0,N-BK7,0,1345.88,1413.75,-67.87,4.8,-5.033,12.662,15.76,17.696
20.0,N-BK7,0,1046.38,1069.83,-23.45,2.19,-6.638,16.376,20.447,23.014
25.0,N-BK7,0,853.35,865.8,-12.45,1.44,-8.42,20.226,25.364,28.646
30.0,N-BK7,0,729.53,731.81,-2.27,0.31,-10.255,23.853,30.071,34.108
35.0,N-BK7,0,643.91,637.93,5.97,0.94,-12.175,27.269,34.59,39.445
40.0,N-BK7,0,577.93,569.25,8.69,1.53,-14.366,30.695,39.235,45.061
45.0,N-BK7,0,528.76,517.47,11.29,2.18,-16.772,33.914,43.735,50.686
50.0,N-BK7,0,491.98,477.65,14.33,3.0,-19.411,36.845,47.988,56.256
-50.0,Fused_Silica,1,504.73,496.74,7.99,1.61,-19.974,37.47,48.878,57.444
-45.0,Fused_Silica,1,543.18,538.14,5.03,0.94,-17.132,34.422,44.426,51.554
-40.0,Fused_Silica,1,600.04,591.99,8.04,1.36,-14.374,30.778,39.32,45.152
-35.0,Fused_Silica,1,675.2,663.42,11.77,1.77,-12.006,27.049,34.272,39.055
-30.0,Fused_Silica,1,778.35,761.05,17.3,2.27,-9.897,23.234,29.241,33.131
-25.0,Fused_Silica,1,927.58,900.4,27.18,3.02,-7.968,19.331,24.198,27.299
-20.0,Fused_Silica,1,1152.6,1112.58,40.02,3.6,-6.21,15.45,19.261,21.66
-15.0,Fused_Silica,1,1545.9,1470.24,75.66,5.15,-4.517,11.456,14.238,15.973
-10.0,Fused_Silica,1,1986.49,2000.0,-13.51,0.68,-3.474,8.892,11.035,12.366
-5.0,Fused_Silica,1,1973.4,2000.0,-26.6,1.33,-3.498,8.951,11.109,12.449
0.0,Fused_Silica,1,1980.04,2000.0,-19.96,1.0,-3.486,8.921,11.071,12.407
5.0,Fused_Silica,1,1983.39,2000.0,-16.61,0.83,-3.48,8.906,11.052,12.386
10.0,Fused_Silica,1,1953.73,2000.0,-46.27,2.31,-3.535,9.042,11.222,12.577
15.0,Fused_Silica,1,1395.26,1470.24,-74.98,5.1,-5.039,12.713,15.813,17.752
20.0,Fused_Silica,1,1078.92,1112.58,-33.66,3.03,-6.688,16.534,20.634,23.222
25.0,Fused_Silica,1,883.93,900.4,-16.47,1.83,-8.442,20.326,25.476,28.769
30.0,Fused_Silica,1,757.4,761.05,-3.65,0.48,-10.256,23.916,30.132,34.172
35.0,Fused_Silica,1,666.67,663.42,3.25,0.49,-12.228,27.424,34.772,39.652
40.0,Fused_Silica,1,592.08,591.99,0.08,0.01,-14.694,31.238,39.954,45.932
45.0,Fused_Silica,1,544.67,538.14,6.53,1.21,-17.042,34.314,44.272,51.357
50.0,Fused_Silica,1,507.09,496.74,10.35,2.08,-19.763,37.266,48.573,57.029
-50.0,N-SF11,2,426.35,406.28,20.07,4.94,-19.31,35.464,46.648,54.774
-45.0,N-SF11,2,465.18,440.14,25.03,5.69,-16.353,32.125,41.794,48.478
-40.0,N-SF11,2,510.83,484.18,26.65,5.5,-14.021,28.963,37.365,42.983
-35.0,N-SF11,2,565.95,542.61,23.34,4.3,-12.062,25.918,33.216,37.98
-30.0,N-SF11,2,640.01,622.46,17.55,2.82,-10.231,22.737,28.973,32.969
-25.0,N-SF11,2,756.86,736.43,20.43,2.77,-8.321,19.077,24.181,27.398
-20.0,N-SF11,2,936.95,909.97,26.99,2.97,-6.513,15.308,19.322,21.821
-15.0,N-SF11,2,1254.23,1202.49,51.74,4.3,-4.747,11.375,14.311,16.122
-10.0,N-SF11,2,1915.91,1792.29,123.62,6.9,-3.055,7.418,9.312,10.474
-5.0,N-SF11,2,1974.59,2000.0,-25.41,1.27,-2.962,7.197,9.033,10.159
0.0,N-SF11,2,1976.28,2000.0,-23.72,1.19,-2.96,7.19,9.025,10.15
5.0,N-SF11,2,1983.88,2000.0,-16.12,0.81,-2.948,7.163,8.99,10.111
10.0,N-SF11,2,1654.46,1792.29,-137.83,7.69,-3.553,8.599,10.8,12.152
15.0,N-SF11,2,1157.04,1202.49,-45.45,3.78,-5.173,12.345,15.542,17.518
20.0,N-SF11,2,895.81,909.97,-14.16,1.56,-6.849,16.03,20.247,22.879
25.0,N-SF11,2,738.33,736.43,1.9,0.26,-8.571,19.575,24.828,28.145
30.0,N-SF11,2,630.79,622.46,8.34,1.34,-10.425,23.089,29.438,33.513
35.0,N-SF11,2,547.87,542.61,5.26,0.97,-12.631,26.84,34.462,39.471
40.0,N-SF11,2,494.39,484.18,10.21,2.11,-14.763,30.023,38.834,44.786
45.0,N-SF11,2,448.94,440.14,8.8,2.0,-17.44,33.436,43.674,50.876
50.0,N-SF11,2,421.32,406.28,15.04,3.7,-19.801,35.953,47.377,55.754
